Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",GDP (current US$) [NY.GDP.MKTP.CD]
2017,YR2017,Sint Maarten (Dutch part),SXM,41109,..
2017,YR2017,Slovak Republic,SVK,5439892,95769031980.1362
2017,YR2017,Slovenia,SVN,2066748,48769655479.2388
2017,YR2017,Solomon Islands,SLB,611343,1303453616.11974
2017,YR2017,Somalia,SOM,14742523,7368560694.66414
2017,YR2017,South Africa,ZAF,56717156,349419343614.089
2017,YR2017,South Sudan,SSD,12575714,..
2017,YR2017,Spain,ESP,46572028,1311320015515.99
2017,YR2017,Sri Lanka,LKA,21444000,87174682200.4324
2017,YR2017,St. Kitts and Nevis,KNA,55345,945854481.481481
2017,YR2017,St. Lucia,LCA,178844,1712306555.55556
2017,YR2017,St. Martin (French part),MAF,32125,..
2017,YR2017,St. Vincent and the Grenadines,VCT,109897,789629629.62963
2017,YR2017,Sudan,SDN,40533330,117487857142.857
2017,YR2017,Suriname,SUR,563402,3324385325.26677
2017,YR2017,Sweden,SWE,10067744,538040458216.997
2017,YR2017,Switzerland,CHE,8466017,678887336848.252
2017,YR2017,Syrian Arab Republic,SYR,18269868,..
2017,YR2017,Tajikistan,TJK,8921343,7145701018.7492
2017,YR2017,Tanzania,TZA,57310019,52090320325.4736
2017,YR2017,Thailand,THA,69037513,455220920571.129
2017,YR2017,Timor-Leste,TLS,1296311,2954620999.58441
2017,YR2017,Togo,TGO,7797694,4812554346.14923
2017,YR2017,Tonga,TON,108020,426057453.064917
2017,YR2017,Trinidad and Tobago,TTO,1369125,22104775828.46
2017,YR2017,Tunisia,TUN,11532127,40256675208.7294
2017,YR2017,Turkey,TUR,80745020,851102411118.116
2017,YR2017,Turkmenistan,TKM,5758075,42355428571.4286
2017,YR2017,Turks and Caicos Islands,TCA,35446,..
2017,YR2017,Tuvalu,TUV,11192,39731317.3044487
2017,YR2017,Uganda,UGA,42862958,25891058946.1936
2017,YR2017,Ukraine,UKR,44831159,112154185121.406
2017,YR2017,United Arab Emirates,ARE,9400145,382575085091.899
2017,YR2017,United Kingdom,GBR,66022273,2622433959604.16
2017,YR2017,United States,USA,325719178,19390604000000
2017,YR2017,Uruguay,URY,3456750,56156972157.6958
2017,YR2017,Uzbekistan,UZB,32387200,48717685984.0278
